<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Si,D,220103,000000,75810,76330,75306,75707,2032485
Si,D,220104,000000,75687,76733,75571,76519,2476836
Si,D,220105,000000,76536,78043,76494,77969,3202676
Si,D,220106,000000,77972,78500,77173,77437,4353603
Si,D,220107,000000,77431,77688,76240,76880,2237601
Si,D,220110,000000,76860,76860,76000,76156,3387022
Si,D,220111,000000,76156,76163,75559,75600,2468340
Si,D,220112,000000,75620,76039,75426,75836,2882023
Si,D,220113,000000,75832,77767,75577,77430,5259730
Si,D,220114,000000,77502,78105,76668,77300,5372895
Si,D,220117,000000,77295,77903,76700,77200,4520391
Si,D,220118,000000,77182,78081,77056,78021,4170839
Si,D,220119,000000,78010,78249,76853,77251,4174745
Si,D,220120,000000,77269,77830,77006,77706,3072767
Si,D,220121,000000,77720,78514,77228,78439,3900499
Si,D,220124,000000,78405,80527,77950,79761,6978939
Si,D,220125,000000,79758,80373,79227,79641,4121782
Si,D,220126,000000,79686,81435,79517,80488,5112798
Si,D,220127,000000,80518,80757,78400,79000,5806480
Si,D,220128,000000,78941,79233,78265,78745,4344062
Si,D,220131,000000,78762,78780,78130,78262,2257056
Si,D,220201,000000,78260,78273,77251,77673,2899262
Si,D,220202,000000,77673,77673,76515,76876,3063432
Si,D,220203,000000,76892,77661,76892,77325,3275006
Si,D,220204,000000,77260,77274,76410,76579,2919464
Si,D,220207,000000,76570,76823,76109,76212,2303262
Si,D,220208,000000,76198,76300,75674,75676,2267470
Si,D,220209,000000,75700,75768,75157,75399,2065560
Si,D,220210,000000,75390,75700,74901,75670,3291011
Si,D,220211,000000,75689,78250,75417,77762,5735970
Si,D,220214,000000,77797,78834,76576,77324,6920930
Si,D,220215,000000,77321,77432,75715,75911,5044921
Si,D,220216,000000,75951,75990,75401,75829,3130031
Si,D,220217,000000,75841,77273,75826,76870,5093170
Si,D,220218,000000,76850,77977,76113,77780,4289819
Si,D,220221,000000,77831,80867,76611,80170,8851098
Si,D,220222,000000,80248,81416,78850,79250,6682330
Si,D,220223,000000,79290,81862,78926,81630,3719778
Si,D,220224,000000,81654,90000,81654,85615,3580105
Si,D,220225,000000,85470,85470,82017,83287,2202857
Si,D,220302,000000,99970,109000,92800,106000,238714
Si,D,220303,000000,101000,109054,97047,106000,70999
Si,D,220304,000000,105429,108999,101101,106000,51405
Si,D,220309,000000,107849,121471,107849,119084,487498
Si,D,220310,000000,119788,128482,116386,118700,343125
Si,D,220311,000000,126487,126506,119514,122000,46314
Si,D,220314,000000,120951,122977,116353,120015,109592
Si,D,220315,000000,120046,120046,114999,115307,110384
Si,D,220316,000000,114953,114953,112360,113846,232211
Si,D,220317,000000,112775,112775,108888,109185,441097
Si,D,220318,000000,109073,110417,107115,108936,604310
Si,D,220321,000000,108955,111400,107920,108161,595655
Si,D,220322,000000,108285,108832,107349,108100,432116
Si,D,220323,000000,108006,109000,103000,103600,920932
Si,D,220324,000000,103673,103710,100101,100870,593424
Si,D,220325,000000,100980,101919,97326,100784,1009323
Si,D,220328,000000,100480,101650,93733,94707,1111815
Si,D,220329,000000,94861,95070,86800,89099,1655948
Si,D,220330,000000,89050,89300,86630,87952,1318563
Si,D,220331,000000,87856,88188,86545,86904,957206
Si,D,220401,000000,86846,87580,86100,87419,676503
Si,D,220404,000000,87500,88571,86231,86690,801933
Si,D,220405,000000,86614,87277,85755,86500,804189
Si,D,220406,000000,86700,86999,82710,82741,1205579
Si,D,220407,000000,82930,83386,77777,78549,1964811
Si,D,220408,000000,78600,79274,73420,78110,2779476
Si,D,220411,000000,78500,84450,78500,81750,2012938
Si,D,220412,000000,81553,82868,80636,82176,1179589
Si,D,220413,000000,82136,82774,81621,82397,906193
Si,D,220414,000000,82340,85091,81836,82609,1783134
Si,D,220415,000000,82735,83478,81216,82168,1234977
Si,D,220418,000000,82250,82500,80577,81631,1512385
Si,D,220419,000000,81586,81887,79766,80118,1221473
Si,D,220420,000000,80150,80298,78000,78000,1555057
Si,D,220421,000000,78050,78470,75110,76599,2028811
Si,D,220422,000000,76687,77660,74430,77656,2093275
Si,D,220425,000000,77666,77666,74581,74864,1734863
Si,D,220426,000000,74910,75095,73723,74528,1733948
Si,D,220427,000000,74550,75247,74276,74525,1137833
Si,D,220428,000000,74461,74575,73420,73520,1209108
Si,D,220429,000000,73605,73950,71811,72593,2082415
Si,D,220504,000000,72503,72503,68303,68395,2163430
Si,D,220505,000000,68321,68823,67050,68472,1667751
Si,D,220506,000000,68331,71400,67030,70411,2397359
Si,D,220511,000000,70450,71443,67551,68020,2623076
Si,D,220512,000000,67792,68484,64163,64237,2794415
Si,D,220513,000000,64458,66630,63613,64985,3331652
Si,D,220516,000000,65045,65489,63526,64400,2922904
Si,D,220517,000000,64266,65185,64000,64712,2302257
Si,D,220518,000000,64710,65370,63962,64500,1961035
Si,D,220519,000000,64525,64859,62541,62734,2376912
Si,D,220520,000000,62800,62918,58550,61650,5236061
Si,D,220523,000000,61688,62225,59000,59178,3310838
Si,D,220524,000000,59233,59685,57700,58348,2842419
Si,D,220525,000000,58319,61600,57748,61291,3832300
Si,D,220526,000000,61527,66488,60925,65580,5030613
Si,D,220527,000000,65581,68290,65328,67980,5606277
Si,D,220530,000000,68005,68399,62046,62730,4981782
Si,D,220531,000000,62700,64586,60814,62027,3890987
Si,D,220601,000000,62097,63125,61592,61901,2013402
Si,D,220602,000000,61901,62886,61427,62493,1873192
Si,D,220603,000000,62519,63692,60864,61146,3046868
Si,D,220606,000000,60966,62500,60700,61417,2526090
Si,D,220607,000000,61521,61880,60686,61455,2002866
Si,D,220608,000000,61529,61774,59434,59535,2978906
Si,D,220609,000000,59500,60359,57970,60273,3811142
Si,D,220610,000000,60320,60465,56790,56999,4206666
Si,D,220614,000000,56917,58536,55657,56550,3141994
Si,D,220615,000000,62140,62546,61031,62194,1058254
Si,D,220616,000000,62125,62930,61038,61277,2328734
Si,D,220617,000000,61206,62267,60824,62031,2119999
Si,D,220620,000000,61954,62474,60728,61168,2108180
Si,D,220621,000000,61130,61147,59701,59936,2391600
Si,D,220622,000000,59905,60081,58333,58365,2232846
Si,D,220623,000000,58350,58970,57678,58290,2598681
Si,D,220624,000000,58318,58799,57901,58048,1785562
Si,D,220627,000000,58098,58728,56355,56539,2290003
Si,D,220628,000000,56550,56783,54016,54197,2390828
Si,D,220629,000000,54180,56896,52165,56837,5847835
Si,D,220630,000000,56897,57652,53770,53868,4289612
Si,D,220701,000000,54050,59399,53010,57698,5734392
Si,D,220704,000000,57777,59587,56620,58105,3513286
Si,D,220705,000000,58149,63960,57605,63469,5710275
Si,D,220706,000000,63577,66740,62527,64872,4996850
Si,D,220707,000000,64935,65750,62910,63096,3363447
Si,D,220708,000000,63050,63650,61802,63090,2897737
Si,D,220711,000000,63162,64285,60251,60321,3747149
Si,D,220712,000000,60319,61390,58700,60800,4071712
Si,D,220713,000000,60800,61561,59560,59701,3403295
Si,D,220714,000000,59717,60990,59050,60798,2767018
Si,D,220715,000000,60826,61083,58436,58990,3119495
Si,D,220718,000000,59029,59120,57630,57653,2019298
Si,D,220719,000000,57675,58436,56663,56871,2774692
Si,D,220720,000000,56825,56975,56033,56356,2414238
Si,D,220721,000000,56364,60485,56157,58450,4681921
Si,D,220722,000000,58450,60381,57927,58660,3907138
Si,D,220725,000000,58663,60470,58500,60464,2927936
Si,D,220726,000000,60420,63444,60000,63304,3954659
Si,D,220727,000000,63313,63420,60786,61269,3964556
Si,D,220728,000000,61268,63381,60900,62828,3869808
Si,D,220729,000000,62820,64184,62214,63671,3364715
Si,D,220801,000000,63671,64691,60900,61000,4141994
Si,D,220802,000000,61010,62266,60553,61813,3186647
Si,D,220803,000000,61812,62444,61021,62269,2147878
Si,D,220804,000000,62295,62525,61200,61540,2213271
Si,D,220805,000000,61550,62950,61238,62302,2412518
Si,D,220808,000000,62334,62789,60838,62695,2632979
Si,D,220809,000000,62700,62737,61311,61600,1849812
Si,D,220810,000000,61581,62367,61353,62016,1727090
Si,D,220811,000000,62015,62222,61622,61867,1684284
Si,D,220812,000000,61853,62720,61010,61160,2640927
Si,D,220815,000000,61230,62900,61038,62495,2174451
Si,D,220816,000000,62504,62800,61406,61573,1607569
Si,D,220817,000000,61572,62130,60480,61127,1991511
Si,D,220818,000000,61122,61586,59562,59770,2385714
Si,D,220819,000000,59810,60149,58754,59688,1862442
Si,D,220822,000000,59689,60896,59501,60152,2427527
Si,D,220823,000000,60148,60830,60000,60496,1688011
Si,D,220824,000000,60497,60790,60104,60212,1377407
Si,D,220825,000000,60231,61079,59834,60920,2269900
Si,D,220826,000000,60901,61070,60100,60887,1681313
Si,D,220829,000000,60903,61215,60450,60743,1435361
Si,D,220830,000000,60746,61235,59654,59716,1901112
Si,D,220831,000000,59719,60997,59680,60446,1676403
Si,D,220901,000000,60460,60850,60244,60590,1170708
Si,D,220902,000000,60565,61294,60462,61214,1125512
Si,D,220905,000000,61215,61836,60523,60970,1841742
Si,D,220906,000000,60969,61457,60810,61405,1106397
Si,D,220907,000000,61399,61726,60902,61188,1240348
Si,D,220908,000000,61163,61300,60621,60680,1010519
Si,D,220909,000000,60700,60782,60331,60565,1024130
Si,D,220912,000000,60586,60824,60120,60378,954530
Si,D,220913,000000,60392,60550,59700,60180,1360046
Si,D,220914,000000,61866,61887,61300,61406,557565
Si,D,220915,000000,61420,62428,61028,62145,1668846
Si,D,220916,000000,62145,62311,61350,61575,1566681
Si,D,220919,000000,61580,61900,61050,61136,1268959
Si,D,220920,000000,61137,63174,60910,62935,2648131
Si,D,220921,000000,62966,64958,62175,62560,2521210
Si,D,220922,000000,62567,62870,60426,60726,2022365
Si,D,220923,000000,60789,61369,58385,59338,3086182
Si,D,220926,000000,59359,60187,58833,59651,1707021
Si,D,220927,000000,59680,60090,59100,60003,1307382
Si,D,220928,000000,60015,60333,58107,58650,1799165
Si,D,220929,000000,58650,59111,56832,57138,2264767
Si,D,220930,000000,57183,58950,51565,58932,4039973
Si,D,221003,000000,58894,59280,56865,58307,2004952
Si,D,221004,000000,58273,58942,57543,57751,1410933
Si,D,221005,000000,57751,60160,57220,59808,1705224
Si,D,221006,000000,59777,60360,59111,59835,1296776
Si,D,221007,000000,59834,60995,58036,58383,2051448
Si,D,221010,000000,58383,60845,58383,59964,1575545
Si,D,221011,000000,59968,61477,59222,60044,2051709
Si,D,221012,000000,60050,60798,58203,60609,1884248
Si,D,221013,000000,60577,61532,60041,61150,1463936
Si,D,221014,000000,61121,61757,60322,60520,1450363
Si,D,221017,000000,60523,60770,59652,59864,1181521
Si,D,221018,000000,59868,60599,59610,60475,1047815
Si,D,221019,000000,60481,60720,59452,60042,985433
Si,D,221020,000000,60040,60870,59774,60577,1034449
Si,D,221021,000000,60589,60734,59836,60500,870450
Si,D,221024,000000,60504,61071,60320,60742,875334
Si,D,221025,000000,60742,61648,60428,61600,884642
Si,D,221026,000000,61601,61850,60627,60878,880942
Si,D,221027,000000,60879,61629,60559,61573,852428
Si,D,221028,000000,61572,62073,61332,61660,693834
Si,D,221031,000000,61663,62270,61182,61281,734439
Si,D,221101,000000,61289,61625,60915,61230,594521
Si,D,221102,000000,61230,62100,61205,62093,687906
Si,D,221103,000000,62100,62390,61668,61894,675398
Si,D,221107,000000,61875,61875,60823,61120,728594
Si,D,221108,000000,61127,61400,60722,61060,669768
Si,D,221109,000000,61061,61864,61000,61831,751170
Si,D,221110,000000,61848,61922,60513,60761,836662
Si,D,221111,000000,60742,60990,60302,60714,877271
Si,D,221114,000000,60728,61128,60520,61026,955360
Si,D,221115,000000,61000,61050,60337,60760,859485
Si,D,221116,000000,60764,60889,60362,60627,712334
Si,D,221117,000000,60630,61015,60605,60877,570769
Si,D,221118,000000,60878,61222,60675,60870,659178
Si,D,221121,000000,60883,61338,60868,61060,582603
Si,D,221122,000000,61058,61199,60611,60705,583574
Si,D,221123,000000,60720,61398,60646,61215,658267
Si,D,221124,000000,61201,61201,60684,61041,827437
Si,D,221125,000000,61043,61070,60560,60823,1115691
Si,D,221128,000000,60830,61480,60830,61443,771251
Si,D,221129,000000,61419,61607,60921,61248,785201
Si,D,221130,000000,61241,61286,60880,61000,649412
Si,D,221201,000000,61017,61613,60981,61503,808208
Si,D,221202,000000,61504,62500,61504,62446,686488
Si,D,221205,000000,62406,62730,62067,62413,783072
Si,D,221206,000000,62413,63436,62413,63400,723416
Si,D,221207,000000,63404,63404,62760,63110,621651
Si,D,221208,000000,63100,63137,62207,62859,1004165
Si,D,221209,000000,62860,62861,62133,62245,971247
Si,D,221212,000000,62259,63233,62259,62925,776888
Si,D,221213,000000,62941,63399,62905,62933,667360
Si,D,221214,000000,63433,64879,63433,64640,426942
Si,D,221215,000000,64669,65500,64250,64752,1447664
Si,D,221216,000000,64764,65480,64550,65474,745179
Si,D,221219,000000,65474,68327,65474,67920,1906282
Si,D,221220,000000,67963,69100,67282,68739,1529719
Si,D,221221,000000,68750,71000,68750,70992,1389559
Si,D,221222,000000,70998,71675,68023,68119,2196143
Si,D,221223,000000,68125,69485,66873,69283,1769000
Si,D,221226,000000,69277,69432,67350,68165,1558479
Si,D,221227,000000,68154,70650,67650,70046,1590503
Si,D,221228,000000,70065,72490,69999,72251,1542927
Si,D,221229,000000,72250,72725,70535,71308,2174641
Si,D,221230,000000,71277,71700,69410,70056,2178468
