№;Название;Тикер; ; ;Капит-я млрд руб;EV млрд руб;Выручка;Чистая прибыль;ДД ао, %;ДД ап, %;ДД/ЧП, %;P/E;P/S;P/B;EV/EBITDA;Рентаб. EBITDA;долг/EBITDA;отчет
1;Роснефть;ROSN;;;4 653;8 420;9 828;855.0;11.7%;;63%;5.4;0.5;0.5;3.0;28%;1.4;LTM-МСФО
2;Лукойл;LKOH;;;4 250;3 104;8 622;848.5;16.8%;;85%;5.0;0.5;0.6;1.7;21%;-0.6;LTM-МСФО
3;НОВАТЭК;NVTK;;;3 310;3 451;1 545;500.2;3.3%;;22%;6.6;2.1;1.2;3.4;65%;0.1;LTM-МСФО
4;Газпром;GAZP;;;3 020;8 198;10 745;1 489.4;0.0%;;;2.0;0.3;0.2;2.5;30%;1.6;LTM-МСФО
5;Газпромнефть;SIBN;;;2 562;3 354;4 014;412.6;14.7%;;91%;6.2;0.6;0.8;2.5;33%;0.6;LTM-МСФО
6;Полюс;PLZL;;;2 445;3 070;695;306.0;76.5%;;89%;8.0;3.5;20.7;5.7;78%;1.2;LTM-МСФО
7;ГМК Норникель;GMKN;;;1 704;2 531;1 166;122.4;0.0%;;;13.9;1.5;2.5;5.3;41%;1.7;LTM-МСФО
8;Яндекс;YDEX;;;1 631;1 685;1 173;92.1;3.8%;;63%;17.7;1.4;14.0;8.4;17%;0.3;LTM-МСФО
9;Татнефть;TATN;;;1 553;1 449;2 030;306.1;14.7%;15.7%;75%;5.1;0.8;1.2;3.0;24%;-0.2;LTM-МСФО
10;Сургутнефтегаз;SNGS;;;1 216;-4 751;2 245;1 322.0;0.0%;0.0%;;0.9;0.5;0.2;;;;LTM-МСФО
11;X5 | Корпоративный центр ИКС 5;X5;;;949;1 027;4 092;104.4;18.5%;;152%;9.1;0.2;9.1;4.0;6%;0.3;LTM-МСФО
12;Транснефть;TRNF;;;929;679;1 417;276.1;15.8%;14.3%;52%;3.4;0.7;0.3;1.2;38%;-0.5;LTM-МСФО
13;Северсталь;CHMF;;;865;862;820;123.3;7.8%;;54%;7.0;1.1;1.8;4.1;26%;0.0;LTM-МСФО
14;OZON | ОЗОН;OZON;;;844;606;696;-54.1;0.0%;;;-15.6;1.2;-6.0;9.6;9%;-3.8;LTM-МСФО
15;ФосАгро;PHOR;;;826;1 085;548;115.6;8.3%;;59%;7.1;1.5;3.9;5.3;37%;1.3;LTM-МСФО
16;НЛМК;NLMK;;;659;588;980;121.8;0.0%;;;5.4;0.7;0.8;;;;LTM-МСФО
17;Акрон;AKRN;;;582;681;214;38.4;3.4%;;51%;15.2;2.7;2.7;9.3;34%;1.3;LTM-МСФО
18;ОАК;UNAC;;;564;1 106;539;-15.3;0.0%;;;-37.0;1.0;-6.0;;;;LTM-МСФО
19;МТС;MTSS;;;469;925;718;14.5;14.9%;;473%;32.3;0.7;-1.8;3.7;35%;1.8;LTM-МСФО
20;Русал;RUAL;;;468;986;1 041;6.2;0.0%;;;75.5;0.4;0.6;14.7;6%;7.7;LTM-МСФО
21;Московская биржа;MOEX;;;453;453;140;72.8;0.0%;;;6.2;3.2;1.9;4.8;68%;;LTM-МСФО
22;ПИК СЗ;PIKK;;;373;400;675;56.1;0.0%;;;6.6;0.6;1.0;2.8;21%;0.2;LTM-МСФО
23;ММК;MAGN;;;370;355;734;59.3;7.5%;;47%;6.2;0.5;0.5;2.7;18%;-0.1;LTM-МСФО
24;Магнит;MGNT;;;367;619;3 043;44.3;0.0%;;;8.3;0.1;6.8;3.6;6%;1.5;LTM-МСФО
25;АЛРОСА;ALRS;;;344;451;239;21.2;5.3%;;87%;16.2;1.4;0.9;5.7;33%;1.4;LTM-МСФО
26;ИнтерРАО;IRAO;;;333;-154;1 598;146.1;11.1%;;25%;2.3;0.2;0.3;-0.9;11%;-2.7;LTM-МСФО
27;ВСМПО-АВИСМА;VSMO;;;332;366;119;16.9;0.0%;;;19.7;2.8;1.1;9.3;33%;0.9;LTM-МСФО
28;Яковлев (Иркут);IRKT;;;320;320;;-5.3;0.0%;;;-60.0;;4.9;;;;LTM-МСФО
29;Башнефть;BANE;;;307;307;1 181;153.7;8.0%;12.7%;17%;2.0;0.3;0.4;1.3;20%;;LTM-МСФО
30;Аэрофлот;AFLT;;;263;775;873;77.5;8.0%;;27%;3.4;0.3;-12.8;3.8;23%;2.5;LTM-МСФО
31;En+;ENPG;;;247;1 055;1 335;90.8;0.0%;;;2.7;0.2;0.5;4.0;20%;3.0;LTM-МСФО
32;Полиметалл (Solidcore);POLY;;;242;455;249;43.4;0.0%;;;5.6;1.0;1.2;5.4;34%;2.6;LTM-МСФО
33;Русгидро;HYDR;;;207;704;602;69.7;0.0%;;;3.0;0.3;0.3;4.3;27%;3.1;LTM-МСФО
34;Ростелеком;RTKM;;;199;759;796;9.5;4.8%;10.5%;107%;20.9;0.2;3.3;2.5;38%;1.9;LTM-МСФО
35;НМТП;NMTP;;;180;144;71;36.9;10.3%;;49%;4.9;2.5;1.2;2.2;90%;-0.6;LTM-МСФО
